Device: cuda (NVIDIA RTX PRO 6000 Blackwell Workstation Edition)

============================================================
  PC-S³ Step 2 + Aug: VANILLA
  Params: 6,549,572  |  d=160  L=8  patch=4
  epochs=300  batch=128  wd=0.05
  Aug: RandAugment(N=2,M=9) + RandomErasing(0.25)
============================================================

  ╔════════════════════════════════════════════════════════╗
  ║  OVERFIT CHECK — single batch, 50 steps                    ║
  ╚════════════════════════════════════════════════════════╝
  step   1/50 [                    ] loss=4.6883  acc=0.023
  step  10/50 [▓▓▓▓                ] loss=2.2377  acc=0.633
  step  20/50 [▓▓▓▓▓▓▓▓            ] loss=0.3020  acc=1.000
  step  30/50 [▓▓▓▓▓▓▓▓▓▓▓▓        ] loss=0.0421  acc=1.000
  step  40/50 [▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓    ] loss=0.0167  acc=1.000
  step  50/50 [▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓] loss=0.0103  acc=1.000
  ✅ PASS — loss 0.0100 < 0.05, acc 1.000 > 0.90
  Ep 172 | lr 1.2e-04 | train 0.3235 acc 0.906 | test 1.5163 acc 0.6645
  Ep 173 | lr 1.2e-04 | train 0.3181 acc 0.909 | test 1.4968 acc 0.6645
  Ep 174 | lr 1.2e-04 | train 0.3119 acc 0.908 | test 1.4955 acc 0.6670 ★
  Ep 175 | lr 1.2e-04 | train 0.3105 acc 0.910 | test 1.5394 acc 0.6579
  Ep 176 | lr 1.2e-04 | train 0.3090 acc 0.911 | test 1.5201 acc 0.6613
  Ep 177 | lr 1.1e-04 | train 0.3133 acc 0.910 | test 1.5233 acc 0.6631
  Ep 178 | lr 1.1e-04 | train 0.3034 acc 0.912 | test 1.5121 acc 0.6600
  Ep 179 | lr 1.1e-04 | train 0.3056 acc 0.912 | test 1.5171 acc 0.6625
  Ep 180 | lr 1.1e-04 | train 0.3024 acc 0.913 | test 1.5192 acc 0.6633
  Ep 181 | lr 1.1e-04 | train 0.2973 acc 0.915 | test 1.5102 acc 0.6640
  Ep 182 | lr 1.1e-04 | train 0.2936 acc 0.916 | test 1.4977 acc 0.6648
  Ep 183 | lr 1.1e-04 | train 0.2922 acc 0.916 | test 1.5280 acc 0.6603
  Ep 184 | lr 1.0e-04 | train 0.2908 acc 0.915 | test 1.5343 acc 0.6570
  Ep 185 | lr 1.0e-04 | train 0.2926 acc 0.917 | test 1.5313 acc 0.6639
  Ep 186 | lr 1.0e-04 | train 0.2875 acc 0.918 | test 1.5155 acc 0.6653
  Ep 187 | lr 9.9e-05 | train 0.2886 acc 0.918 | test 1.5119 acc 0.6636
  Ep 188 | lr 9.8e-05 | train 0.2854 acc 0.919 | test 1.5140 acc 0.6654
  Ep 189 | lr 9.6e-05 | train 0.2799 acc 0.920 | test 1.5250 acc 0.6641
  Ep 190 | lr 9.4e-05 | train 0.2812 acc 0.921 | test 1.5030 acc 0.6633
  Ep 191 | lr 9.3e-05 | train 0.2759 acc 0.920 | test 1.5262 acc 0.6627
  Ep 192 | lr 9.1e-05 | train 0.2769 acc 0.921 | test 1.5245 acc 0.6696 ★
  Ep 193 | lr 9.0e-05 | train 0.2735 acc 0.923 | test 1.5267 acc 0.6666
  Ep 194 | lr 8.8e-05 | train 0.2693 acc 0.923 | test 1.5065 acc 0.6661
  Ep 195 | lr 8.7e-05 | train 0.2668 acc 0.924 | test 1.5429 acc 0.6628
  Ep 196 | lr 8.6e-05 | train 0.2629 acc 0.926 | test 1.4966 acc 0.6708 ★
  Ep 197 | lr 8.4e-05 | train 0.2624 acc 0.925 | test 1.5223 acc 0.6694
  Ep 198 | lr 8.3e-05 | train 0.2597 acc 0.925 | test 1.5468 acc 0.6638
  Ep 199 | lr 8.1e-05 | train 0.2606 acc 0.926 | test 1.5294 acc 0.6660
